               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 119,            0.021831,            0.015507,           0.0023568,             0.70658,             0.77211,             0.76571,             0.37962,            0.044732,            0.013352,             0.02322,           0.0066623,           0.0066623,           0.0066623
                 120,            0.022656,            0.014184,           0.0023284,             0.82128,             0.71767,             0.78516,             0.38051,            0.044173,            0.013385,            0.023939,            0.006634,            0.006634,            0.006634
                 121,            0.022358,            0.013549,           0.0025393,             0.75507,             0.73284,             0.75537,             0.38619,            0.045655,            0.013422,            0.025068,           0.0066057,           0.0066057,           0.0066057
                 122,            0.021818,            0.014071,           0.0024474,             0.70102,             0.75665,             0.73242,             0.35768,            0.045894,            0.013692,            0.027935,           0.0065774,           0.0065774,           0.0065774
                 123,            0.021757,            0.014493,            0.001736,             0.75056,             0.73688,             0.74743,             0.36608,            0.045235,            0.014264,             0.02775,           0.0065491,           0.0065491,           0.0065491
                 124,            0.020302,            0.014399,           0.0022462,             0.77787,             0.72644,             0.75354,             0.37425,            0.046352,            0.014074,            0.025738,           0.0065209,           0.0065209,           0.0065209
                 125,            0.021663,            0.014233,           0.0027945,             0.77249,             0.70805,             0.75215,             0.36359,            0.045114,            0.013915,            0.029011,           0.0064926,           0.0064926,           0.0064926
                 126,            0.022393,            0.014118,           0.0020751,             0.78352,             0.69467,             0.76124,             0.36721,            0.046799,            0.013851,            0.028481,           0.0064643,           0.0064643,           0.0064643
                 127,             0.02193,            0.013708,           0.0016665,             0.75848,             0.76133,             0.77207,             0.38635,            0.046541,            0.013883,            0.024911,            0.006436,            0.006436,            0.006436
                 128,            0.021771,            0.014314,           0.0016162,             0.78929,             0.72783,             0.77555,             0.39433,             0.04424,            0.014279,            0.032343,           0.0064077,           0.0064077,           0.0064077
